id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,reviews total,pre 2014 reviews,post 2014 reviews
19840835,Eco Friendly Tiny Apartment,3440175,James,,78702,30.253790000000002,-97.70209,Private room,5,1,1,2017-07-16,0.04,6,0,21,0,1
19843334,Lake Austin Modern - WalkerVR LAKE AUSTIN MODERN *Amazing lake views & Private Dock!*,15864252,Walker Luxury Vacation,,78730,30.341620000000002,-97.81625,Entire home/apt,752,2,2,2019-04-07,0.09,12,320,1,0,2
19848829,Texas Hill Country Cabin with Pool Access,33563603,Misty,,78737,30.2082,-97.95194000000001,Entire home/apt,185,2,11,2018-11-18,0.46,8,192,77,0,11
19861351,5BR/4BA South Lamar Duplex - Close to SXSW!,138398089,GuestSpaces,,78704,30.24935,-97.78294,Entire home/apt,300,2,45,2019-07-04,0.98,33,323,2,0,45
19862742,"Charming, updated, eclectic Austin original!",86156988,Jesse,,78749,30.203840000000003,-97.84291999999999,Entire home/apt,199,2,29,2019-07-05,1.34,1,36,42,0,29
19862947,Reveille Tiny House at MLF Community First Village,15621214,Barrett At Community First! Village,,78724,30.280640000000002,-97.62222,Entire home/apt,52,1,65,2019-06-30,2.81,17,348,2,0,65
19863105,"Perfect, lovely home for long term stays",140486704,Crystal,,78744,30.16171,-97.78038000000001,Private room,39,31,13,2019-06-10,0.58,1,273,28,0,13
19863514,"Modern, Sylish, Clean and Cozy, Eastside Gem!",4147674,Jessica,,78702,30.25703,-97.72674,Entire home/apt,190,2,79,2019-07-01,3.57,2,311,26,0,79
19864191,SXSW Welcome.  Less than 10 minutes from DownTown,135245436,Norma,,78744,30.195520000000002,-97.73344,Private room,45,1,12,2019-04-14,0.57,3,267,142,0,12
19875825,Modern Luxury 3 Miles to Downtown,78023638,Ben And Ginger,,78703,30.294529999999998,-97.76455,Entire home/apt,300,2,22,2019-05-27,0.97,1,34,3,0,22
19875868,Art-Inspired Condo with Balcony,121271671,Neil,,78701,30.28172,-97.74483000000001,Entire home/apt,89,1,177,2019-07-08,7.76,3,87,4,0,177
19876395,Your new place,48344008,Subhan,,78705,30.29035,-97.74332,Entire home/apt,67,2,1,2017-07-23,0.04,1,0,92,0,1
19892163,"Walk to Downtown, ACL, SXWS!",11979273,Cory,,78704,30.2558,-97.76071,Entire home/apt,245,3,13,2018-10-14,0.61,1,0,24,0,13
19892325,The 808! Short distance to Rainey St/6th St/SXSW,140824248,Rey,,78702,30.258370000000003,-97.73661,Entire home/apt,140,1,151,2019-07-09,7.06,2,91,12,0,151
19903678,5th Dimension,140938997,Casey,,78753,30.35065,-97.69369,Entire home/apt,70,1,6,2019-07-07,0.33,1,13,10,0,6
