,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,pre 2014 reviews,post 2014 reviews,percent change
617,1641751,Bicycle bnb in South Central Austin,8716539,Eric & Erin,,78704,30.24329,-97.7657,Entire home/apt,82,2,251,7/7/2019,3.58,1,338,44,207,3.704545455
618,1645518,The Curly J - hilltop mini-ranch!,8732670,Diane And Gary,,78737,30.21277,-97.96575,Entire home/apt,165,2,137,7/6/2019,1.96,1,39,29,108,2.724137931
619,1646670,"5 mins to Downtown! Walk to bars/restaurants, lake",7577297,Michael,,78703,30.2812,-97.76822,Entire home/apt,695,2,38,6/9/2019,0.56,1,350,6,32,4.333333333
620,1654316,75% off July - Elegant Home in Hipsterville,8771676,Julia (And Johnny),,78702,30.26849,-97.72394,Entire home/apt,275,2,22,5/27/2019,0.32,1,247,3,19,5.333333333
622,1664692,Central Austin Luxury Loft - Completely Private,8816698,Michelle,,78703,30.28869,-97.75762,Private room,150,2,118,5/27/2019,1.68,1,180,17,101,4.941176471
623,1672225,Historic home in North Loop area,8852403,Shelley,,78751,30.31907,-97.72064,Entire home/apt,253,30,17,6/8/2019,0.24,1,309,5,12,1.4
624,1673142,Mid-Century Modern Retreat Neighboring Downtown,6253447,Karen,,78746,30.27708,-97.7901,Entire home/apt,1600,3,19,5/19/2019,0.29,1,109,5,14,1.8
625,1673168,Chic Urban Homestead - Central - 3br/2.5ba,1488733,Brooke,,78704,30.23836,-97.76238,Entire home/apt,300,1,115,6/17/2019,1.97,34,269,4,111,26.75
629,1683591,Macs off SoCo Abode,4689326,Heather,,78704,30.25246,-97.74823,Entire home/apt,382,1,185,1/20/2019,2.68,2,0,19,166,7.736842105
630,1698089,Downtown Austin 1 bedroom Condo,8967238,Heidi,,78701,30.26904,-97.74701,Entire home/apt,175,30,38,2/28/2019,0.57,1,165,21,17,-0.19047619
631,1699415,ZIlker Park 1/1,8973365,Inger,,78704,30.25895,-97.77375,Entire home/apt,125,2,51,5/18/2019,0.86,1,282,6,45,6.5
632,1702743,Central East Bungalow-1.3 Miles to UT Monthly-Sale,425706,Robert,,78722,30.28282,-97.70824,Entire home/apt,119,2,10,2/28/2019,0.14,6,334,6,4,-0.333333333
633,1703216,Curl up in the Window Seat at a Colorful Modern Treehouse,1232812,Brian And Meredith,,78704,30.2561,-97.76681,Entire home/apt,149,3,120,3/16/2019,1.73,1,132,37,83,1.243243243
634,1703893,38 1/2 st-Private room (queen bed),3769063,Ashley,,78722,30.29414,-97.71802,Private room,59,2,159,6/9/2019,2.27,1,73,30,129,3.3
